ID,Name,Director,Writer,Genre,Cast,Duration,Description,Audience Rating,Movie Rating,Studio,Year,Release Date at Theaters,Release Date on DVD,Box Office Revenue
34,Clean and Sober,Glenn Gordon Caron,"Glenn Gordon Caron,Tod Carroll",Drama,"Michael Keaton,
                Kathy Baker,
                Morgan Freeman,
                M. Emmet Walsh,
                Luca Bercovici,
                Brian Benben,
                Tate Donovan,
                Henry Judd Baker,
                Claudia Christian,
                J. David Krassner,
                Dakin Matthews,
                Mary Catherine Martin,
                Patricia Quinn,
                Glenn Daniels,
                Ben Piazza,
                Terri Hanauer,
                David A. Kimball,
                Pat Quinn,
                Veronica Redd,
                Sharie Doolittle,
                Sharon Medearis,
                Nick Savage,
                Sandra Foster,
                Pamela Dunlap,
                Leslie Neale,
                Anne Kerry Ford,
                Michael Francis Clarke,
                Doug MacHugh,
                Claudia Robinson,
                Rachel Ryan,
                Harley Jane Kozak,
                Al Pugliese,
                Stephanie Menuez,
                Michael Leopard,
                Douglas Roberts,
                Jean Nash,
                Marion Dougherty,
                Serina Robinson,
                Morgan J. Freeman",124 minutes,"The directorial debut of Glenn Gordon Caron, the creator of the television series Moonlighting (1985-89), this intense, gritty drama was received as one of the best-ever cinematic treatments of substance abuse. Michael Keaton stars as Daryl Poynter, a hustling, successful Philadelphia real estate agent who has become addicted to cocaine. He's already got problems, including nearly a $100,000 embezzled from his employer and lost on the stock market, when he wakes up one morning with a young woman dead in his bed from a coke overdose. His company is asking questions about the missing funds, and the dead girl's father is plastering his neighborhood with posters accusing Daryl of being a murderer, so he decides to hide out in an anonymous drug treatment program. There, however, Daryl runs into tough-minded counselor and former addict Craig (Morgan Freeman), who has heard all of Daryl's lies and tricks before. Daryl also finds romance with an abused fellow addict, Charlie Standers (Kathy Baker), and understanding with his Alcoholics Anonymous sponsor (M. Emmet Walsh).",",
            3.2/5","R (adult situations/language, nudity)",,(1988),"Aug 10, 1988","Jun 1, 2004",","
35,,,,,,,,",
            
                    N/A",,,,,,
36,,,,,,,"A two-part made for TV effort, this special depicts the dysfunctional Jackson family, which has somehow managed to raise its children in such a way that they have managed to rise above their steel town backgrounds to the tops of the charts in the music field. Though obviously not delving into the more controversial and sensational aspects of their lives, this story is a somewhat rose-colored but still interesting pictorial history of the exceptional musical family. If nothing else, worth watching for the incredible music and choreography.",",
            4.1/5",,,,,,
37,Midnight Son,Scott Leberecht,Scott Leberecht,"Action & Adventure,Drama,Horror","Zac Kilberg,
                Maya Parish,
                Joe D. Jonz,
                Larry Cedar,
                Arlen Escarpeta,
                Juanita Jennings,
                Kevin McCorkle,
                Austin Mincks,
                Tracey Walter,
                Shawn-Caulin Young",,"A man suffering from a rare skin disorder that makes him sensitive to sunlight falls for a pretty bartender while seeking to alleviate his condition with human blood, and becoming the prime suspect in a series of gruesome murders. ~ Jason Buchanan, Rovi",",
            3.4/5",PG,,(2009),"Jul 17, 2012",92 minutes,","
38,,,,,,,"Chuck Palumbo vs. Chris Masters in a Dark Match, Matt Hardy vs. Montel Vontavious Porter (c) for the WWE United States Championship, Hornswoggle, vs. Jimmy Wang Yang vs. Shannon Moore vs. Funaki vs. Jamie Noble vs. Chavo Guerrero (c) for the WWE Cruiserweight Championship, Carlito vs. The Sandman in a Singapore Cane on a Pole Match, Melina vs. Candice Michelle (c) for the World Women's Championship, Jeff Hardy vs. Umaga (c) for the WWE Intercontinental Championship, CM Punk vs. John Morrison (c) for the ECW World Championship, Randy Orton vs. Dusty Rhodes in a Texas Bull Rope Match, Batista vs. Kane vs. The Great Khali (c) in a Triple Threat Match for the World Heavyweight Championship, Bobby Lashley vs John Cena (c) the WWE Championship.",",
            4.4/5",,,,,,
39,Outbreak,Wolfgang Petersen,"Laurence Dworet,Robert Roy Pool","Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy","Rene Russo,
                Dustin Hoffman,
                Morgan Freeman,
                Kevin Spacey,
                Donald Sutherland,
                Cuba Gooding Jr.,
                Patrick Dempsey,
                Joe Don Baker,
                Daniel Chodos,
                Leland Hayward III,
                Susan Lee Hoffman,
                Benito Martinez,
                Bruce Jarchow,
                Daniel Chodes,
                Zakes Mokae,
                Malick Bowens,
                Dale Dye,
                Kara Keough,
                Gina Menza,
                Mathew Saks,
                Per Didrik Fasmer,
                Michelle Joyner,
                Donald Forrest,
                Julie Pierce,
                Tim Ransom,
                Michelle M. Miller,
                Dana Anderson,
                Patricia Place,
                Maury Sterling,
                Michael Emanuel,
                Lucas Dudley,
                Roberto Font,
                Joseph Latimore,
                Michael Sottile,
                Ed Beechner,
                Matthew Saks,
                Diana Bellamy,
                Lance Kerwin,
                Brett Oliver,
                Eric Mungai Nguku,
                Jim Antonio,
                Larry Hine,
                Nickolas H. Marshall,
                Douglas Hebron,
                Jae Woo Lee,
                Derek Kim,
                Bill Stevenson,
                Kellie Overbey,
                Dana Andersen,
                Patrica Place,
                Nicholas Pappone,
                Traci Odom,
                Herbert Jefferson Jr.,
                Thomas Crawford,
                Buzz Barbee,
                Jenna Byrne,
                Brian Reddy,
                Ina Romeo,
                Teresa Velarde,
                Jane Jenkins,
                Carmela Rappazzo,
                Kurt A. Boesen,
                Jack Rader,
                Robert Rigamonte,
                Mimi Doyka,
                C. Jack Robinson,
                Robert Alan Beuth,
                Gordon Michaels,
                Peter Looney,
                Conrad Bachmann,
                Cary J. Pitts,
                Cynthia Harrison,
                Marcus Hennessy,
                Albert Owens,
                David Silverbrand,
                Julie Araskog,
                Frank Rositani,
                George Christy,
                Bruce Isacson,
                Marilyn Brandt,
                Philip Handy,
                J.T. Walsh,
                J.J. Chaback,
                Mark Brown",122 minutes,"A handful of scientists struggle to prevent the destruction of a small town -- and possibly the entire country -- in this suspense drama. In the mid-1960s, a deadly virus is discovered in Zaire that wipes out an entire village in 24 hours. Government researchers are brought in to investigate, but the military opts to destroy the village rather than risk further infection. Thirty years later, Sam Daniels (Dustin Hoffman), an expert on contagious diseases, is called in when the virus re-emerges in Africa. A monkey carrying the bug is smuggled into the U.S., and a suburban California town soon begins to succumb to the illness. Sam scrambles to find an antidote with the help of his ex-wife Robby (Rene Russo), a Center for Disease Control researcher, and their colleague Casey (Kevin Spacey), while Gen. McClintock (Donald Sutherland) has his own reasons for wanting to use bombs to contain the epidemic, and Army surgeon Gen. Ford (Morgan Freeman) is caught in the middle. Outbreak was produced in the hopes of beating the film version of Richard Preston's bestseller The Hot Zone (about a real-life epidemic) into theaters; script problems shelved The Hot Zone, and Outbreak had the infectious disease market to itself. ~ Mark Deming, Rovi",",
            3.1/5",R (for language),,(1995),"Mar 10, 1995","Aug 27, 1997",","
40,,,,,,,,",
            3.3/5",,,,,,
41,The Guardian,Andrew Davis,"Ron L. Brinkerhoff,Kelsie Kullman","Action & Adventure,Drama","Kevin Costner,
                Ashton Kutcher,
                Sela Ward,
                Melissa Sagemiller,
                John Heard,
                Clancy Brown,
                Omari Hardwick,
                Alex Daniels,
                Neal McDonough,
                Adam De La Pena,
                Dulé Hill,
                Brian Geraghty,
                Bonnie Bramlett,
                Daniel J. Molthen,
                Andrew Schanno,
                Joe Arquette,
                Gary Billburg,
                Andrea Martynowski,
                Joshua Mitcheltree,
                Rusty Tennant,
                James Barnes,
                Stephanie Barnes,
                Shane Sweitzer,
                John F. Hall,
                Johnell Gainey,
                Jeff Loftus,
                Shelby Fenner,
                Michael Rady,
                Peter Gail,
                Brian Patrick Wade,
                Benny Ciaramello,
                Travis Willingham,
                Matt Laub,
                Matthew L. Rucker,
                Tanica Jamison,
                Paul Wallace,
                Tilky Jones,
                Megan Melgaard,
                Scott Mueller,
                Jacob Stevens,
                Austin Lash,
                Mark Gangloff,
                Damon Lipardi,
                Roger Edwards,
                Gregory J. Barnett,
                Kenny G. Krauss,
                Gioacchino Brucia,
                J.D. Evermore,
                Damon Lipari,
                Andrea Martynowsky,
                Ron Fien,
                Nevada Smith,
                Jay Bingham,
                Keith Sweitzer,
                Shane Walker,
                Joseph ""Butch"" Flythe,
                Robert E. Watson,
                Richard Davis,
                Bryce Cass,
                James Burton,
                Tony Brown,
                Wendell Wayne Stewart,
                Chris ""Hambone"" Cameron,
                Mark Ohlsen,
                Gene Barge,
                Steve Eisen,
                Josie Aiello,
                Devin Thompson,
                Tina Treadwell,
                Corrine DeGroot,
                Greg Sproles,
                Ron Dean,
                James Landers,
                Jesse De Villa,
                Leigh Hennessy,
                Tanner Gill,
                Norm Compton,
                Donald Fisher,
                Vladimir Tevlovski,
                Henry Kingi Jr.,
                Dorian Kingi,
                Deborah Boone,
                Roxanne Brooks,
                Conrad Palmisano,
                Michael James,
                Danny Cosmo Higginbottom,
                Gene Hartline,
                John Rottger,
                John Rottger,
                Tommy Rosales Jr.,
                Gordon Goodwin",,"A decorated Coast Guard search and rescue specialist still haunted by the death of his teammates during a disastrous mission off the coast of Alaska is charged with the task of training the next generation of Coast Guard rescue swimmers in director Andrew Davis' ocean-bound adventure drama. Ben Randall (Kevin Costner) was the best swimmer of his graduating class, but upon surfacing as the sole survivor of an Alaskan rescue mission attempted during a Category Three storm, his outlook on life has grown increasingly jaded. Now, as hotshot young swimmer Jake Fischer (Ashton Kutcher) arrives at Coast Guard rescue school looking to accomplish something meaningful with his life, he will be forced to endure the rigorous training methods of a man who expects nothing less than the very best in order to become a member of one of the most elite rescue squads on the planet.",",
            3.7/5","PG-13 (for intense sequences of action/peril, brief strong language and some sensuality)",Buena Vista Pictures,(2006),"Sep 29, 2006","Jan 23, 2007","$54,983,983.00"
42,,,,,,,"In these days of talk shows and tabloids, an ordinary person facing an extraordinary circumstance stands a real chance of becoming a national celebrity. If that person happens to be young and rebellious, he or she could become a cultural icon. Such is the premise of this dark, satirical drama. Cliff Spab (Stephen Dorff), like many his age, is sick to death of his boring small-time, suburban life; he wonders if his life has any purpose or intrinsic value. When young Cliff and his friend head into the local convenience store to get some beer, they do not expect to find themselves taken hostage by terrorists. These terrorists have video cameras as they want their cause to be aired on national TV. The boys and three other customers are held for 36 days. Except for Spab and rich-girl Wendy (Reese Witherspoon), all of the hostages are killed. Spab becomes a cult-hero because he resists the terrorists with his personal motto, ""So f*cking what."" S.F.W. becomes the new national slogan and appears everywhere, from T-shirts to coffee mugs.",",
            3.0/5",,,,,,
43,,,,,,,"A talented young rock keyboardist allows his life to fall into the gutter after he loses both hands during a mugging. He is later fitted with special hand extensions, but these neither allow him to play music nor much of anything else. Despondent, he starts drinking heavily and soon finds himself a self-pitying homeless street bum in New York. His life starts improving after he encounters Anamika, a New Age girl who befriends him and introduces him to special friends, one a computer genius and the other, her landlady, a metal sculptor. Together with some assistance from his roommate, the three devise a marvelous set of hands for the boy, ones endowed with special qualities that allow to play music even better than before. Billing himself as Cyberstorm, the lad becomes a star. A hometown concert gives him a chance at revenge.",",
            3.2/5",,,,,,
44,Clockstoppers,Jonathan Frakes,"David Weiss,J. David Stem,David N. Weiss,Rob Hedden","Action & Adventure,Comedy,Kids & Family,Science Fiction & Fantasy","Jesse Bradford,
                French Stewart,
                Paula Garcés,
                Michael Biehn,
                Robin Thomas,
                Garikayi Mutambirwa,
                Julia Sweeney,
                Jason George,
                Lindze Letherman,
                Linda Kim,
                Ken Jenkins,
                Esperanza Catubig,
                Jennifer Manley,
                Scott Thomson,
                Deborah Rawlings,
                Scott Thompson,
                Jodie Milks,
                Tony Abatemarco,
                Brad 'Chip' Pope,
                Oanh Nguyen,
                Andrew James Armstrong,
                Rachel Arieff,
                Joey Simmrin,
                Finneus Egan,
                Pamela Dunlap,
                Gina Hecht,
                Eric Baugh,
                Dwight Armstrong,
                D.J. Midas,
                Funkmaster Flex,
                Earl Barlow,
                DJ Swamp,
                Jer-Lyn Benjamin,
                Diana Carreno,
                Lamonte ""Tails"" Goode,
                Ronnie Willis,
                Aisha R. Delaria,
                Frank Howard,
                Kirven T. Arrington,
                Danny Cistone,
                Rece Jones,
                Alfie Lewis,
                Clifford McGee,
                Kimberly Morrow,
                Alphonso Rawls,
                Sherman Shoate,
                Lani Tuyor-Stanbery,
                Monet 'Fusion' Ludlow,
                Giacomo Vernice,
                Billy Mayo,
                Clifford McGhee,
                Jenette Goldstein,
                Tom Parks,
                Alphonzo Rawls,
                Jeff Ricketts,
                Melanie Mayron,
                Larry Carroll,
                Caroline Fogarty,
                Joel Huggins,
                Jon Alan Lee,
                Colin McClean,
                Darius Boorn,
                Eric Brown,
                Young Dopler,
                Miko Hughes,
                Jamshied Sharifi",,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on--something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun. But Zak and Francesca soon find out they are not alone in ""Hypertime.""",",
            2.6/5",PG (for action violence and mild language),Paramount Pictures,(2002),"Mar 29, 2002","Aug 13, 2002","$36,900,146.00"
45,Codegirl,Lesley Chilcott,,Documentary,,,"Join high school aged girls from around the world as they try to better their community through technology and collaboration in this thrilling, heartfelt documentary. By 2017, the app market will be valued at $77 Billion. Over 80% of these developers are male. The Technovation Challenge aims to change that by empowering girls worldwide to develop apps for an international competition. From rural Moldova to urban Brazil to suburban Massachusetts, CODEGIRL follows teams who dream of holding their own in the world's fastest-growing industry. The winning team gets $10K to complete and release their app, but every girl discovers something valuable along the way.",",
            4.0/5",NR,,(2015),109 minutes,,
46,Preggoland,Jacob Tierney,Sonja Bennett,Comedy,"Sonja Bennett,
                James Caan,
                Danny Trejo,
                Laura Harris,
                Paul Campbell VIII,
                Jared Keeso,
                Carrie Ruscheinsky,
                Lisa Durupt,
                Carrie Ruschiensky,
                Denise Jones,
                Jody Marklew,
                Jade Loring,
                Olive Collingwood,
                Chance Hurstfield,
                Ken Lawson,
                Brittney Wilson,
                Jessica McLeod,
                Iain Belcher,
                Rebecca Jenkins,
                Michael Teigen,
                Kalina Leonardi,
                Stephen E. Miller,
                Aliya Campbell,
                Christina Jastrzembska,
                Eileen Barrett,
                Fabiola Colmenero,
                Sandy Sidhu,
                Karin Inghammar,
                Kendall Cross,
                June B. Wilde,
                Jane Stanton,
                Toby Hargrave,
                Woody Jeffreys,
                Kirsten Slenning,
                Christoff Lundgren,
                Brittany Willacy,
                Matt Ellis,
                Pendo Muema,
                Eduard Witzke,
                Candus Churchill,
                David Ward,
                Dan Mangan,
                Dylan Thomas Collingwood,
                Kevin Eastwood",106 minutes,"When Ruth ruins a baby shower with her drunken, juvenile antics, her old high school cronies, who are all mothers now, promptly de-friend her. But when she is later mistakenly thought to be ""with child,"" she is inexplicably welcomed back into the group. Ruth plans on coming clean, but when her dad has a heart attack and tells her that the only thing keeping him alive is the promise of grandkids, Ruth decides to continue to fake the pregnancy. Things get even more complicated when Ruth falls in love with her new boss, who seems to wants nothing more than to raise her unborn child as his own. Can she get out of this without losing her job, friends, respect of her family, and the new love of her life? This edgy comedy challenges the stereotypes of finding love and motherhood. (C) Gravitas",",
            3.0/5",NR,,(2015),"May 8, 2015","Aug 11, 2015",","
47,Nerve,,,,,,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",",
            3.8/5",,,(2016),,,
48,,,,,,,"The dejected habitués of a run-down New Jersey bar currently teetering on the brink of bankruptcy receive an encouraging boost of morale when a one-time drinking buddy about to get his big break in show-business returns to find the girl he once left behind as the popular stage drama comes to the screen in a film starring Kim Dickens, Debi Mazar, Nick Chinlund, and Paul Sorvino. A locals-only dive where whiskey flows free and evenings pass in a bitter, alcohol-fueled haze, Charlie's Bar and New Crystal Ballroom is a holding tank for lost souls and forgotten dreams. Despite the dreary nature of the place, however, things suddenly start to look up when one-time local Joey Parker returns to his old watering hole in search of the woman he once left behind. It seems that the celebrated crooner from Manhattan has recently been booked for his first appearance on The Tonight Show with Jay Leno, and in order for his success to truly be complete Joey is convinced that he must first wed his long lost love. Now, as the dreams of the weary are re-awakened by the same winds that blew in the man determined to take hold of his fate, the regulars at Charlie's are about to find out why some dreamers are better left asleep.",",
            2.6/5",,,,,,
49,Alex Cross,Rob Cohen,"Kerry Williamson,Marc Moss","Action & Adventure,Mystery & Suspense","Tyler Perry,
                Matthew Fox,
                Edward Burns,
                Jean Reno,
                Carmen Ejogo,
                Cicely Tyson,
                Rachel Nichols,
                Giancarlo Esposito,
                John C. McGinley,
                Stephanie Jacobsen,
                Werner Daehn,
                Yara Shahidi,
                Sayeed Shahidi,
                Chad Lindberg,
                Simenona Martinez,
                Jessalyn Wanlim,
                Christian Mathis,
                Tim Holmes,
                Ingo Rademacher,
                Tiren Jhames,
                Sonny Surowiec,
                Darcy Leutzinger,
                Brian Jackson,
                Christopher Stadulis,
                Timothy Richardson,
                Timothy J. Richardson,
                Steffen Dziczek,
                Ideene Dehdashti,
                Dave Bender,
                Chris Wallis,
                Matt Frieden,
                Barbara Cashulin,
                Peter Lawson Jones,
                Marcelo Tubert,
                Alexandra Ruddy,
                Keith Cameron,
                Rory Markham,
                Tim Sitarz,
                E. Ray Goodwin,
                Danny Wynands,
                Simon Rhee,
                Andrew Comrie-Picard,
                I. Ketut Resi Yogi,
                I. Wayan Suwita,
                I. Ketut Arya Wijaya,
                Joe Perry,
                Timothy Richardson",,"Alex Cross follows the young homicide detective/psychologist (Tyler Perry), from the worldwide best-selling novels by James Patterson, as he meets his match in a serial killer (Matthew Fox). The two face off in a high-stakes game of cat and mouse, but when the mission gets personal, Cross is pushed to the edge of his moral and psychological limits in this taut and exciting action thriller. -- (C) Lionsgate",",
            3.1/5","PG-13 (for violence including disturbing images, sexual content, language, drug references, and nudity)",Summit,(2012),"Oct 19, 2012","Feb 5, 2013","$25,863,915.00"
50,,"Jay Oliva,Frank Paur,Patrick Archibald",Greg Johnson,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","Bryce Johnson,
                Michael Yama,
                Susan Spano,
                Tara Strong,
                Fred Tatasciore,
                Masasa Moyo,
                Jonathan Adams,
                Chris Edgerly,
                Josh Keaton,
                Phil LaMarr,
                Paul Nakauchi,
                Kevin Michael Richardson",76 minutes,"This animated feature brings to life the bestselling Dr. Strange series of Marvel comic books. The film -- like the original works -- plunges viewers into an otherworldly, mystical realm, rife with strange and mysterious creatures, of centuries-old spells and barrel-chested heroes. As the story opens, a surgeon, Dr. Stephen Strange, must first travel to the Tibetan Mountains to seek out healing from the Ancient One. After letting go of long-buried wounds from his past, he begins to tap into an inner aptitude for magic and sorcery that will enable him to take on a host of monsters that threaten the sanctity and very existence of humankind. Marvel guru Stan Lee co-executive produced; Bryce Johnson, Paul Nakauchi, Michael Yama, and others provide voices. ~ Nathan Southern, Rovi",",
            3.5/5",PG-13 (for action violence and some frightening images),,,"May 14, 2007","Aug 14, 2007",","
51,,,,,,,A woman hires a day laborer for an hour and gets more than she bargained for.,",
            
                    N/A",,,,,,
52,,,,,,,,",
            4.4/5",,,,,,
53,Dumb and Dumber,Peter Farrelly,"Peter Farrelly,Bobby Farrelly,Bennett Yellin","Action & Adventure,Comedy,Special Interest","Jim Carrey,
                Jeff Daniels,
                Lauren Holly,
                Teri Garr,
                Karen Duffy,
                Mike Starr,
                Charles Rocket,
                Victoria Rowell,
                Joe Baker,
                Hank Brandt,
                Brady Bluhm,
                Cam Neely,
                Felton Perry,
                Brad Lockerman,
                Harland Williams,
                Rob Moran,
                Kathryn Frick,
                Zen Gesner,
                Lawrence David Kopp,
                Clint Allen,
                Connie Sawyer,
                Lin Shaye,
                Mike Watkis,
                Diane Kinerk,
                Lisa Stothard,
                Sean Sildea,
                Charles Chun,
                Helen Boll,
                Fred Stoller,
                Hillary Matthews,
                Karen Ingram,
                Jesse Borja,
                Vene Arcoraci,
                Anna Aberg,
                Samantha Carpel,
                Elane Wood,
                Bruce Bowns,
                Denise Vienne,
                Nancy Farrelly,
                Catalina Izasa,
                Samantha Pearson,
                Ken Duvall,
                Cecile Krevoy,
                George Bedard,
                The Bill Beauchene Family,
                Gary Sivertsen,
                John Stroehman,
                Terry Mullany,
                Brad Blank,
                Mark Miosky,
                Mike Cavallo,
                Tom Leasca,
                Kevin Sheehan,
                Kenny Griswald,
                Brian Mone,
                Brad Norton,
                John Dale,
                Mike Burke,
                Kevin Constantine,
                Chris Spain,
                Paul Pelletier,
                Mark Levine,
                Mark Charpentier,
                James Ahern,
                Jim Blake,
                Traci Adell,
                Anita Rice,
                Pam Nielson,
                Nancy Barker,
                Doug Caputo,
                James Horrocks,
                Rolf Brekke,
                Clem ""Mandingo"" Franek,
                William Smith,
                Brad Louder",107 minutes,"Jim Carrey and Jeff Daniels play the title roles (though viewers may find themselves debating which is which) in this genially low-brow comedy. Lloyd Christmas (Jim Carrey) and Harry Dunne (Jeff Daniels) are two intellectually-challenged best friends who share an apartment so messy that gangsters aren't sure how to trash the place; the guys also have a certain problem (not difficult to understand) holding on to jobs. Lloyd is working as a limo driver in Rhode Island when he picks up a beautiful and wealthy woman named Mary Swanson (Lauren Holly) who is being taken to the airport. Lloyd immediately falls head over heels in love with Mary, and when she leaves a briefcase at the airport, he's determined to return it in hopes of impressing her. Lloyd isn't able to get aboard Mary's flight (though not for lack of trying). Harry has a van decorated to look like a dog (to promote his failing dog-grooming business), and the pair hop in the Poochmobile to find Mary in Aspen. What Lloyd and Harry don't know is that the briefcase is full of money, which Mary deliberately left at the airport as a ransom payment to save the life of her kidnapped husband. Incidentally, Lloyd's chipped front tooth happens to be real; while Jim Carrey had the injured tooth capped many years ago, he thought a broken smile would suit Lloyd's character and had the cap removed for the duration of filming. ~ Mark Deming, Rovi",",
            3.3/5",PG-13,,(1994),"Dec 16, 1994","May 20, 1997",","
54,Trust,Hal Hartley,Hal Hartley,"Art House & International,Comedy,Drama","Adrienne Shelly,
                Martin Donovan,
                Merrit Nelson,
                Merritt Nelson,
                John A. MacKay,
                Edie Falco,
                John McKay,
                Marko Hunt,
                Gary Sauer,
                Matt Malloy,
                Tom Thon,
                Patricia Sullivan,
                Bill Sage,
                Nena Segal,
                Karen Sillas,
                Pamela Stewart,
                Jeff Howard,
                Christopher Cooke,
                Chris Cooke,
                Suzanne Costollos",107 minutes,"The unlikely relationship between a pregnant high school student and a brooding electronics repairman lies at the center of this droll comedy from writer-director Hal Hartley. Intelligent but unconventional, Maria (Adrienne Shelly) has more to worry about than her pregnancy, as her expectant state drives away her boyfriend and triggers a fatal heart attack in her father. Meanwhile, Matthew (Martin Donovan) has his own problems: an abusive father, a heightened sense of morality that prevents him from taking semi-lucrative television repair jobs, and a suicidal streak that causes him to carry around a potentially deadly grenade. The meeting of these troubled minds at first promises to be beneficial for both, but sours as they are forced to interact with each other's dysfunctional families. As in all of Hartley's pictures, the narrative is filtered through an amusingly detached sensibility that some may consider an acquired taste.",",
            4.3/5",R,,(1991),"Jun 1, 1991","Feb 20, 1992",","
55,I Can Do Bad All By Myself,Tyler Perry,Tyler Perry,Comedy,"Tyler Perry,
                Taraji P. Henson,
                Adam Rodriguez,
                Brian J. White,
                Hope Olaide Wilson,
                Kwesi Boakye,
                Freddy Siglar,
                Gladys Knight,
                Mary J. Blige,
                Eric Mendenhall,
                Marvin Winans,
                David Paulus,
                Randall Taylor,
                Tess Malis Kincaid,
                Cheryl B. Pratt,
                Joe E. Taylor Jr.,
                Judith Franklin,
                Jameaka Tubbs,
                Thomasina Walker,
                Jamilah Windham,
                Greta Glenn,
                Toni Redd,
                Tanya R. Rodriguez",,"A hard-living nightclub singer discovers the importance of family with the help of a handsome Mexican immigrant in this inspirational comedy drama from writer/director Tyler Perry. When pistol-packing granny Madea (Perry) awakens to the sound of her home being ransacked by wayward teen Jennifer (Hope Olaide Wilson) and her two younger brothers, she promptly marches the troubled kids over their aunt April's house. But despite being the only relative the kids can turn to, April (Taraji P. Henson) is hardly a role model; a self-destructive songbird with a serious drinking problem, she spends her nights at the club and relies on her married boyfriend, Raymond, to pay the bills. Suddenly, into April's life wanders Sandino (Adam Rodriguez), a hard-luck immigrant in search of some honest work. Before long, Sandino has moved into April's basement room, and formed a solid connection with the kids. The closer April and Sandino grow, the more April begins to recognize the importance of faith and family. When the time comes to say goodbye to her old ways and start a new life, the wounded chanteuse realizes that she may have finally found the true love that's always eluded her. ~ Jason Buchanan, Rovi",",
            4.0/5","PG-13 (for mature thematic material involving a sexual assault on a minor, violence, drug references and smoking)",Lionsgate Films,(2009),"Sep 11, 2009","Jun 28, 2005","$51,697,449.00"
56,,,,,,,,",
            3.8/5",,,,,,
57,,,,,,,"In this melodrama that emphasizes emotion and a convoluted plot, Nancy Eldridge (Jill Clayburgh) has remarried after her divorce and is trying to recuperate from the tragedy of the deaths of her two children during her previous marriage. That means when her children by current husband Clay (Max Gail) are kidnapped, she is particularly distraught. When the identity of the kidnapper becomes clear, more facts about the past and the present are revealed, as events carry emotionally charged scenes to a larger-than-life ending.",",
            4.0/5",,,,,,
58,Wet Hot American Summer,David Wain,"Michael Showalter,David Wain",Comedy,"Janeane Garofalo,
                David Hyde Pierce,
                Michael Showalter,
                Marguerite Moreau,
                Paul Rudd,
                Zak Orth,
                Christopher Meloni,
                A.D. Miles,
                Molly Shannon,
                Gideon Jacobs,
                Ken Marino,
                Joe Lo Truglio,
                Michael Ian Black,
                Liam Norton,
                Amy Poehler,
                Bradley Cooper,
                Marisa Ryan,
                Howard Bernstein,
                Elizabeth Banks,
                Gabriel Millman,
                Kevin Sussman,
                Kevin Thomas Conroy,
                Christopher Cuzumano,
                Madeline Blue,
                Cassidy Ladden,
                Nina Hellman,
                Peter Salett,
                Judah Friedlander,
                Jacob Shoesmith Fox,
                Whitney Vance,
                Benjamin Coppola,
                H. Jon Benjamin,
                Jake Fogelnest,
                Ian Helfer,
                Jordan Maclean,
                Avi Setton,
                Kyle Gallner,
                Kathleen Pandolfo,
                Zachary Montgomery-Wicks,
                Danny Hopkins,
                Christopher Connors,
                Matt Carmeci,
                Stephen O'Brien,
                Timothy Gasiewski,
                Angel Berlane,
                Christi Berlane,
                Bob Walz,
                Joseph Kariuki,
                Donna Mitchell,
                Joe Bryan,
                Christine Loebsack,
                Sandra Kennedy,
                Keith Oney",97 minutes,"The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day.",",
            3.6/5","R (for strong sexual content, language and a drug sequence)",,(2001),"Jul 27, 2001","Jan 8, 2002",","
59,,,,,,,"Guy Bates Post stars in a double role in his film debut in this initial production from Richard Walton Tully. Post had previously starred in stage productions. Screen veterans Edward M. Kimball, Ruth Sinclair, and Herbert Standing are familiar names in the cast of this film that includes crowd scenes of what is supposed to be London, England.",",
            3.2/5",,,,,,
